bug_name,buggy_line_key,# of failing Tcs,# of lines executed by failing TCs,# of mutants,# of uncompilable mutants,# of mutans on buggy line,# of uncompilable mutants on buggy line,# of compilable mutants on buggy line,total p2f (all mutants),total f2p (all mutants),# of functions,# of func. executed by failing TCs,# of function with same highest met score,met score of highest rank,rank of buggy function (function level) (met),met score of buggy function,rank of buggy function among func. executed by failing tcs (met),met accuracy among func. executed by failing tcs,# of function with same highest muse score,muse score of highest rank,rank of buggy function (function level) (muse),muse score of buggy function,rank of buggy function among func. executed by failing tcs (muse),muse accuracy among func. executed by failing tcs
concat_layer.MUT32.cpp,"opencv_dnn/modules/dnn/src/layers/concat_layer.cpp#ChannelConcatInvoker::run(int & inputs, class cv::Mat & output, int nstripes)#171",21,4002,1321,424,20,1,19,79109,21,1095,371,1,1.0,1,1.0,1,0.2695417789757413,1,0.0477272727272727,1,0.0477272727272727,1,0.2695417789757413
tf_graph_simplifier.MUT111.cpp,opencv_dnn/modules/dnn/src/tensorflow/tf_graph_simplifier.cpp#ReshapeKerasSubgraph::ReshapeKerasSubgraph(int _numOutDims)#327,2,1018,1380,486,20,7,13,72082,0,1095,91,1095,0.0,1095,0.0,91,100.0,1095,0.0,1095,0.0,91,100.0
onnx_importer.MUT1628.cpp,"opencv_dnn/modules/dnn/src/onnx/onnx_importer.cpp#ONNXImporter::parseQAvgPool(class cv::dnn::dnn4_v20240521::LayerParams & layerParams, const opencv_onnx::NodeProto & node_proto)#3790",1,1094,1041,465,20,8,12,97198,2,1095,108,1,1.0,1,1.0,1,0.9259259259259258,1,0.0512820512820512,1,0.0512820512820512,1,0.9259259259259258
elementwise_layers.MUT233.cpp,"opencv_dnn/modules/dnn/src/layers/elementwise_layers.cpp#AsinFunctor::supportBackend(int backendId, int )#1704",2,978,835,313,20,1,19,121383,20,1095,103,1,1.0,1,1.0,1,0.9708737864077669,1,0.0476190476190476,1,0.0476190476190476,1,0.9708737864077669
proposal_layer.MUT13.cpp,opencv_dnn/modules/dnn/src/layers/proposal_layer.cpp#ProposalLayerImpl::ProposalLayerImpl(const class cv::dnn::dnn4_v20240521::LayerParams & params)#40,1,642,924,210,20,5,15,82085,0,1095,56,1095,0.0,1095,0.0,56,100.0,1095,0.0,1095,0.0,56,100.0
tf_importer.MUT1197.cpp,opencv_dnn/modules/dnn/src/tensorflow/tf_importer.cpp#TFImporter::predictOutputDataLayout(const tensorflow::NodeDef & layer)#3001,22,4857,1217,329,20,0,20,101012,110,1095,449,1,1.0,1,1.0,1,0.22271714922048996,1,0.0471900471900471,1,0.0471900471900471,1,0.22271714922048996
proposal_layer.MUT26.cpp,opencv_dnn/modules/dnn/src/layers/proposal_layer.cpp#ProposalLayerImpl::ProposalLayerImpl(const class cv::dnn::dnn4_v20240521::LayerParams & params)#59,1,642,940,187,20,3,17,57243,1,1095,56,1,1.0,1,1.0,1,1.7857142857142856,1,0.0277777777777777,1,0.0277777777777777,1,1.7857142857142856
prior_box_layer.MUT115.cpp,"opencv_dnn/modules/dnn/src/layers/prior_box_layer.cpp#PriorBoxLayerImpl::forward(cv::InputArrayOfArrays inputs_arr, cv::OutputArrayOfArrays outputs_arr, cv::OutputArrayOfArrays internals_arr)#451",3,709,953,166,20,0,20,82236,0,1095,59,1095,0.0,1095,0.0,59,100.0,1094,0.0,1094,0.0,58,98.30508474576271
recurrent_layers.MUT93.cpp,"opencv_dnn/modules/dnn/src/layers/recurrent_layers.cpp#LSTMLayerImpl::getMemoryShapes(const int & inputs, const int requiredOutputs, int & outputs, int & internals)#339",16,2371,1258,357,20,4,16,94513,16,1095,208,1,0.968245836551854,1,0.968245836551854,1,0.4807692307692308,1,0.0553633217993079,1,0.0553633217993079,1,0.4807692307692308
fast_norm.MUT90.cpp,"opencv_dnn/modules/dnn/src/layers/cpu_kernels/fast_norm.cpp#fastNormChannel(const class cv::Mat & input, const class cv::Mat & scale, const class cv::Mat & bias, class cv::Mat & output, float epsilon)#153",7,2111,1193,390,20,0,20,118100,1,1095,219,1,0.3779644730092272,1,0.3779644730092272,1,0.45662100456621,1,0.0238095238095238,1,0.0238095238095238,1,0.45662100456621
nary_eltwise_layers.MUT176.cpp,"opencv_dnn/modules/dnn/src/layers/nary_eltwise_layers.cpp#NaryEltwiseLayerImpl::nary_forward_impl(const Functor & f, const T scale, int ninputs, int ndims, const int & shape, const char ** inp, char * out, const int & steps, int & ptrs)#433",9,3632,1347,414,20,0,20,82045,54,1095,333,1,1.0,1,1.0,1,0.3003003003003003,1,0.0467532467532467,1,0.0467532467532467,1,0.3003003003003003
resize_layer.MUT56.cpp,"opencv_dnn/modules/dnn/src/layers/resize_layer.cpp#ResizeLayerImpl::forward(cv::InputArrayOfArrays inputs_arr, cv::OutputArrayOfArrays outputs_arr, cv::OutputArrayOfArrays internals_arr)#155",4,2520,1378,423,20,1,19,90078,7,1095,233,1,1.0,1,1.0,1,0.4291845493562232,1,0.04375,1,0.04375,1,0.4291845493562232
net_quantization.MUT121.cpp,"opencv_dnn/modules/dnn/src/net_quantization.cpp#Impl::quantize(class cv::dnn::dnn4_v20240521::Net & net, cv::InputArrayOfArrays calibData, int inputsDtype, int outputsDtype, _Bool perChannel)#242",13,4615,1157,267,20,6,14,79155,15,1095,412,1,0.4803844614152613,1,0.4803844614152613,1,0.24271844660194172,1,0.0375,1,0.0375,1,0.24271844660194172
onnx_graph_simplifier.MUT447.cpp,opencv_dnn/modules/dnn/src/onnx/onnx_graph_simplifier.cpp#GatherCastSubgraph::GatherCastSubgraph()#1249,2,1945,1166,343,20,1,19,136200,48,1095,185,2,1.0,2,1.0,2,1.0810810810810811,1,0.0204081632653061,2,0.010204081632653,2,1.0810810810810811
tf_importer.MUT1141.cpp,"opencv_dnn/modules/dnn/src/tensorflow/tf_importer.cpp#TFImporter::kernelFromTensor(const tensorflow::TensorProto & tensor, class cv::Mat & dstBlob)#2834",32,4858,1299,327,20,0,20,60072,19,1095,434,1,0.7705517503711221,1,0.7705517503711221,1,0.2304147465437788,1,0.0452380952380952,1,0.0452380952380952,1,0.2304147465437788
pooling_layer.MUT423.cpp,"opencv_dnn/modules/dnn/src/layers/pooling_layer.cpp#PoolingLayerImpl::getMemoryShapes(const int & inputs, const int requiredOutputs, int & outputs, int & internals)#1370",26,3818,1111,331,20,2,18,84437,12,1095,358,1,0.4803844614152613,1,0.4803844614152613,1,0.27932960893854747,1,0.048582995951417,1,0.048582995951417,1,0.27932960893854747
onnx_graph_simplifier.MUT581.cpp,opencv_dnn/modules/dnn/src/onnx/onnx_graph_simplifier.cpp#UpsampleSubgraph::UpsampleSubgraph()#1533,562,3542,1307,324,20,8,12,82150,1746,1095,299,1,0.9982190546862896,1,0.9982190546862896,1,0.33444816053511706,1,0.0493153097617894,1,0.0493153097617894,1,0.33444816053511706
correlation_layer.MUT75.cpp,"opencv_dnn/modules/dnn/src/layers/correlation_layer.cpp#CorrelationLayerImpl::correlationKernelSubtraction(const class cv::Mat & input0, const class cv::Mat & input1, class cv::Mat & output, int item)#138",1,426,665,108,20,0,20,62726,0,1095,35,1095,0.0,1095,0.0,35,100.0,1094,0.0,1094,0.0,34,97.14285714285714
onnx_importer.MUT339.cpp,"opencv_dnn/modules/dnn/src/onnx/onnx_importer.cpp#ONNXImporter::parseReduce(class cv::dnn::dnn4_v20240521::LayerParams & layerParams, const opencv_onnx::NodeProto & node_proto)#1191",1,1135,1116,395,20,4,16,143327,5,1095,111,1,1.0,1,1.0,1,0.9009009009009009,1,0.0490196078431372,1,0.0490196078431372,1,0.9009009009009009
permute_layer.MUT4.cpp,opencv_dnn/modules/dnn/src/layers/permute_layer.cpp#PermuteLayerImpl::checkNeedForPermutation()#77,7,3655,1366,453,20,1,19,101914,83,1095,340,1,1.0,1,1.0,1,0.29411764705882354,1,0.0494047619047619,1,0.0494047619047619,1,0.29411764705882354
layers_common.MUT62.cpp,"opencv_dnn/modules/dnn/src/layers/layers_common.cpp#getConvolutionKernelParams(const class cv::dnn::dnn4_v20240521::LayerParams & params, int & kernel, int & pads_begin, int & pads_end, int & strides, int & dilations, cv::String & padMode, int & adjust_pads, _Bool & useWinograd)#195",703,5108,1113,337,20,12,8,29845,1175,1095,447,1,1.0,1,1.0,1,0.22371364653243847,1,0.1110166288737717,1,0.1110166288737717,1,0.22371364653243847
onnx_importer.MUT1076.cpp,"opencv_dnn/modules/dnn/src/onnx/onnx_importer.cpp#ONNXImporter::parseResize(class cv::dnn::dnn4_v20240521::LayerParams & layerParams, const opencv_onnx::NodeProto & node_proto)#2706",4,2081,956,268,20,2,18,99180,18,1095,198,1,1.0,1,1.0,1,0.5050505050505051,1,0.0498614958448753,1,0.0498614958448753,1,0.5050505050505051
einsum_layer.MUT291.cpp,opencv_dnn/modules/dnn/src/layers/einsum_layer.cpp#LayerEinsumImpl::processEquation(const int & inputs)#962,2,1047,1182,471,20,1,19,163400,12,1095,97,1,1.0,1,1.0,1,1.0309278350515463,1,0.0461538461538461,1,0.0461538461538461,1,1.0309278350515463
einsum_layer.MUT289.cpp,opencv_dnn/modules/dnn/src/layers/einsum_layer.cpp#LayerEinsumImpl::processEquation(const int & inputs)#956,13,1152,1168,476,20,0,20,174780,13,1095,113,1,1.0,1,1.0,1,0.8849557522123894,1,0.0442176870748299,1,0.0442176870748299,1,0.8849557522123894
slice_layer.MUT16.cpp,"opencv_dnn/modules/dnn/src/layers/slice_layer.cpp#tranformForNegSteps(const cv::dnn::dnn4_v20240521::MatShape & inpShape, int & sliceRanges, int & sliceSteps)#106",1,1312,1138,414,20,0,20,114489,2,1095,124,1,1.0,1,1.0,1,0.8064516129032258,1,0.0317460317460317,1,0.0317460317460317,1,0.8064516129032258
tf_importer.MUT291.cpp,"opencv_dnn/modules/dnn/src/tensorflow/tf_importer.cpp#TFImporter::parseConvolution(tensorflow::GraphDef & net, const tensorflow::NodeDef & layer_, class cv::dnn::dnn4_v20240521::LayerParams & layerParams)#897",52,5123,1251,324,20,1,19,101666,104,1095,459,1,1.0,1,1.0,1,0.2178649237472767,1,0.0495238095238095,1,0.0495238095238095,1,0.2178649237472767
resize_layer.MUT9.cpp,opencv_dnn/modules/dnn/src/layers/resize_layer.cpp#ResizeLayerImpl::ResizeLayerImpl(const class cv::dnn::dnn4_v20240521::LayerParams & params)#47,3,2838,1228,410,20,10,10,103474,794,1095,264,1,1.0,1,1.0,1,0.3787878787878788,1,0.0011979634621144,8,0.0010291595197255,8,3.0303030303030303
scatter_layer.MUT34.cpp,"opencv_dnn/modules/dnn/src/layers/scatter_layer.cpp#ScatterLayerImpl::forward_impl(const Functor & reduce_operation, const class cv::Mat & input_mat, const class cv::Mat & indices_mat, const class cv::Mat & updates_mat, class cv::Mat & output_mat)#103",8,1072,998,313,20,1,19,134798,56,1095,107,2,1.0,2,1.0,2,1.8691588785046727,1,0.0381372402028595,2,0.0070175438596491,2,1.8691588785046727
slice_layer.MUT60.cpp,opencv_dnn/modules/dnn/src/layers/slice_layer.cpp#SliceLayerImpl::SliceLayerImpl(const class cv::dnn::dnn4_v20240521::LayerParams & params)#188,12,1272,1184,391,20,0,20,141354,57,1095,120,1,1.0,1,1.0,1,0.8333333333333334,1,0.0435139573070607,1,0.0435139573070607,1,0.8333333333333334
recurrent_layers.MUT72.cpp,"opencv_dnn/modules/dnn/src/layers/recurrent_layers.cpp#LSTMLayerImpl::getMemoryShapes(const int & inputs, const int requiredOutputs, int & outputs, int & internals)#296",19,2224,1200,397,20,2,18,110800,1,1095,194,1,0.2294157338705617,1,0.2294157338705617,1,0.5154639175257731,1,0.0263157894736842,1,0.0263157894736842,1,0.5154639175257731
pooling_layer.MUT221.cpp,opencv_dnn/modules/dnn/src/layers/pooling_layer.cpp#PoolingInvoker::operator()(const class cv::Range & r)#899,3,2792,1388,444,20,0,20,107129,4,1095,259,1,0.5773502691896258,1,0.5773502691896258,1,0.3861003861003861,1,0.0380952380952381,1,0.0380952380952381,1,0.3861003861003861
convolution_layer.MUT187.cpp,"opencv_dnn/modules/dnn/src/layers/convolution_layer.cpp#ConvolutionLayerImpl::tryQuantize(const int & scales, const int & zeropoints, class cv::dnn::dnn4_v20240521::LayerParams & params)#1437",4,3592,1181,381,20,1,19,86866,8,1095,343,1,0.7071067811865475,1,0.7071067811865475,1,0.2915451895043732,1,0.0553214812427171,2,0.0111111111111111,2,0.5830903790087464
